timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.036566,135.000000,262.000000,-1009.000000,-102.000000,152.000000,-879.000000,3.000000,148.000000,-1017.000000
0.136233,134.000000,264.000000,-1006.000000,-106.000000,153.000000,-880.000000,4.000000,148.000000,-1016.000000
0.235671,136.000000,261.000000,-1005.000000,-106.000000,158.000000,-882.000000,2.000000,145.000000,-1018.000000
0.336409,140.000000,263.000000,-1002.000000,-108.000000,256.000000,-879.000000,2.000000,145.000000,-1024.000000
0.436262,147.000000,259.000000,-995.000000,-112.000000,262.000000,-874.000000,-98.000000,140.000000,-1126.000000
0.536241,155.000000,157.000000,-887.000000,-115.000000,271.000000,-874.000000,-106.000000,31.000000,-1140.000000
0.636599,159.000000,149.000000,-872.000000,-123.000000,276.000000,-869.000000,-113.000000,19.000000,-1149.000000
0.737399,258.000000,143.000000,-867.000000,-120.000000,273.000000,-765.000000,-121.000000,14.000000,-1150.000000
0.836408,261.000000,140.000000,-766.000000,-119.000000,270.000000,-752.000000,-126.000000,7.000000,-1253.000000
0.937513,258.000000,139.000000,-766.000000,-117.000000,271.000000,-752.000000,-125.000000,11.000000,-1252.000000
1.037084,260.000000,137.000000,-865.000000,-118.000000,269.000000,-753.000000,-225.000000,10.000000,-1260.000000
1.137854,260.000000,138.000000,-868.000000,-116.000000,272.000000,-754.000000,-128.000000,8.000000,-1261.000000
1.237128,260.000000,136.000000,-768.000000,-117.000000,272.000000,-750.000000,-225.000000,6.000000,-1262.000000
1.338108,260.000000,135.000000,-767.000000,-115.000000,268.000000,-753.000000,-228.000000,6.000000,-1263.000000
1.437270,261.000000,135.000000,-866.000000,-116.000000,270.000000,-752.000000,-226.000000,6.000000,-1264.000000
1.538153,261.000000,139.000000,-885.000000,-118.000000,268.000000,-867.000000,-124.000000,4.000000,-1258.000000
1.637294,141.000000,258.000000,-1015.000000,-105.000000,154.000000,-876.000000,0.000000,141.000000,-1022.000000
1.738504,133.000000,264.000000,-1020.000000,-102.000000,147.000000,-878.000000,4.000000,149.000000,-1005.000000
1.838267,128.000000,265.000000,-1020.000000,-103.000000,146.000000,-879.000000,8.000000,148.000000,-1008.000000
1.937723,131.000000,264.000000,-1021.000000,-103.000000,148.000000,-880.000000,5.000000,150.000000,-1007.000000
2.037878,129.000000,264.000000,-1020.000000,-101.000000,149.000000,-878.000000,4.000000,150.000000,-1006.000000
2.138463,128.000000,265.000000,-1021.000000,-100.000000,146.000000,-879.000000,7.000000,148.000000,-1005.000000
2.238410,31.000000,266.000000,-1021.000000,-101.000000,148.000000,-878.000000,7.000000,150.000000,-1005.000000
2.338131,129.000000,265.000000,-1020.000000,-102.000000,145.000000,-881.000000,7.000000,149.000000,-1006.000000
2.438901,130.000000,266.000000,-1021.000000,-101.000000,146.000000,-879.000000,4.000000,150.000000,-1003.000000
2.539222,131.000000,266.000000,-1021.000000,-105.000000,145.000000,-880.000000,7.000000,150.000000,-1006.000000
2.638770,129.000000,267.000000,-1021.000000,-100.000000,148.000000,-879.000000,8.000000,153.000000,-1003.000000
2.739325,129.000000,265.000000,-1020.000000,-103.000000,147.000000,-881.000000,5.000000,150.000000,-1006.000000
2.838777,128.000000,264.000000,-1018.000000,-102.000000,148.000000,-880.000000,7.000000,151.000000,-1008.000000
2.938825,128.000000,265.000000,-1016.000000,-104.000000,147.000000,-883.000000,7.000000,152.000000,-1006.000000
